# Integration point output from Abaqus ODB
# ODB:   G:\01_Forschung\01_Creep\00_UMAT\UMAT_CLAUDE\Schachter_3D\G1_schachter_seed10.odb
# Step:  Load
# Frame: -1
# Time:  4.800000000000e+03
#
# Columns:
# instance  elementLabel  integrationPoint  x  y  z  SDV3  SDV4
#
G1-1 1852 2 -1.771352549156e+01 4.976662055704e+00 6.103339370348e+01 4.414144992828e+00 -1.370280623436e+00
G1-1 1852 3 -1.435942352531e+01 7.132870458603e+00 5.729873189840e+01 5.972323894501e+00 -1.919929265976e+00
G1-1 1852 4 -1.771352549156e+01 7.132870458603e+00 5.729873189840e+01 4.458897113800e+00 -1.402219176292e+00
G1-1 1853 1 8.629527864731e+00 3.778682888238e+00 5.721047997326e+01 8.589367866516e+00 -2.822034120560e+00
G1-1 1853 2 1.004794799800e+01 7.085246045279e+00 5.803564248840e+01 8.703645706177e+00 -2.592971324921e+00
G1-1 1853 3 7.576446389974e+00 6.005023401174e+00 6.098237583266e+01 8.644829750061e+00 -2.711251497269e+00
G1-1 1853 4 1.004794799800e+01 4.929037701320e+00 6.177030617956e+01 7.368132591248e+00 -1.979537367821e+00
G1-1 1854 1 1.048626407865e+01 8.216018829213e+00 6.244349990388e+01 9.124888420105e+00 -1.752281785011e+00
G1-1 1854 2 8.014762470625e+00 6.656638220957e+00 6.353687729894e+01 8.763797760010e+00 -2.474102020264e+00
G1-1 1854 3 1.048626407865e+01 5.580652697924e+00 6.432480670280e+01 9.047979354858e+00 -1.905449151993e+00
G1-1 1854 4 1.048626407865e+01 6.059810330946e+00 6.617816188906e+01 9.138403892517e+00 -1.724874496460e+00
G1-1 1855 1 -4.406636438824e+00 -9.882781544060e+00 5.957823929366e+01 5.007459640503e+00 -1.469613432884e+00
G1-1 1855 2 -7.049742463092e+00 -1.009780572463e+01 6.306230392053e+01 6.046284198761e+00 -1.873758792877e+00
G1-1 1855 3 -3.035277867924e+00 -7.551106335328e+00 6.527493773228e+01 6.440443992615e+00 -1.995577096939e+00
G1-1 1855 4 -7.092145986828e+00 -6.246537444569e+00 6.331555237873e+01 8.087454795837e+00 -2.624177932739e+00
G1-1 1856 1 8.154654575526e+00 3.016084169899e+00 6.869953471586e+01 9.009888648987e+00 -1.980600595474e+00
G1-1 1856 2 1.051928800704e+01 4.069254602866e+00 6.872265080557e+01 8.932850837708e+00 -2.136580944061e+00
G1-1 1856 3 1.051928800704e+01 1.433888513632e+00 7.060395742438e+01 8.889375686646e+00 -2.223198890686e+00
G1-1 1856 4 1.051928800704e+01 3.590096763552e+00 6.686929467626e+01 9.014805793762e+00 -1.971592187881e+00
G1-1 1857 1 -9.284667272958e+00 1.623471258052e+01 1.078597848833e+02 3.946932792664e+00 -1.186806321144e+00
G1-1 1857 2 -7.535087308030e+00 1.365027063033e+01 1.052094508085e+02 4.244649410248e+00 -1.282161593437e+00
G1-1 1857 3 -1.074192414291e+01 1.067951370799e+01 1.053523118349e+02 5.330903053284e+00 -1.715830802917e+00
G1-1 1857 4 -9.284667272958e+00 1.623471258052e+01 1.034779535108e+02 3.668686628342e+00 -1.061438322067e+00
G1-1 1858 1 4.918546861475e+00 -1.091325468203e+00 8.119187992479e+01 8.590096473694e+00 -2.823488473892e+00
G1-1 1858 2 8.963552283520e+00 -3.388653408282e+00 8.022644283580e+01 6.081180095673e+00 2.701092138886e-02
G1-1 1858 3 5.609456975644e+00 -1.951181274617e+00 7.773666955647e+01 8.783844947815e+00 -2.432677268982e+00
G1-1 1858 4 8.963552283520e+00 -7.532875695444e-01 7.834513433089e+01 6.469597816467e+00 -6.573494076729e-01
G1-1 1859 1 -1.771352549156e+01 -6.872262314083e+00 7.412465747339e+01 6.669163703918e+00 -2.392661333084e+00
G1-1 1859 2 -1.771352549156e+01 -2.540582762834e+00 7.409203905014e+01 6.246550559998e+00 -2.053913116455e+00
G1-1 1859 3 -1.771352549156e+01 -4.696790868882e+00 7.782669991217e+01 5.791659355164e+00 -1.939492464066e+00
G1-1 1859 4 -1.435942352531e+01 -2.540582350252e+00 7.409203905014e+01 2.300155162811e+00 9.274812340736e-01
G1-1 1860 1 4.959657588196e+00 1.490018619592e+01 1.150530070474e+02 4.451626777649e+00 -1.383010983467e+00
G1-1 1860 2 2.160561420313e+00 1.784118212364e+01 1.128442860011e+02 2.947231292725e+00 -7.440951466560e-01
G1-1 1860 3 2.160561420313e+00 1.784118212364e+01 1.172261226717e+02 3.174579143524e+00 -8.737444281578e-01
G1-1 1860 4 6.353188878125e+00 1.784118212364e+01 1.128442860011e+02 4.103363037109e+00 -1.251557946205e+00
